date,t2m,sp,rh,wind_speed,pwv,zero_count_last_3,zero_count_last_6,zero_count_last_12,zero_count_last_24,zero_freq_24h,zero_freq_7d,dry_blocks,pwv_during_dry,tp
2018/2/14 0:00,282.24,1012.32,41.14,2.64,13.85,1.0,1.0,1.0,1.0,1.0,1.0,0,13.85,1e-05
2018/2/14 0:15,282.12,1012.39,41.65,2.76,13.75,2.0,2.0,2.0,2.0,1.0,1.0,0,13.8,1e-05
2018/2/14 0:30,282.0,1012.46,42.16,2.87,13.82,3.0,3.0,3.0,3.0,1.0,1.0,0,13.806666666666667,1e-05
2018/2/14 0:45,281.89,1012.53,42.67,2.98,13.86,3.0,4.0,4.0,4.0,1.0,1.0,0,13.82,1e-05
2018/2/14 1:00,281.77,1012.6,43.18,3.1,13.69,3.0,5.0,5.0,5.0,1.0,1.0,0,13.794,1e-05
2018/2/14 1:15,282.79,1012.49,45.23,3.13,13.79,3.0,6.0,6.0,6.0,1.0,1.0,0,13.793333333333331,1e-05
2018/2/14 1:30,283.82,1012.38,47.28,3.16,14.04,3.0,6.0,7.0,7.0,1.0,1.0,0,13.828571428571427,1e-05
2018/2/14 1:45,284.84,1012.26,49.34,3.19,14.6,3.0,6.0,8.0,8.0,1.0,1.0,0,13.924999999999999,1e-05
2018/2/14 2:00,285.86,1012.15,51.39,3.22,15.43,3.0,6.0,9.0,9.0,1.0,1.0,0,14.092222222222222,1e-05
2018/2/14 2:15,285.79,1012.13,51.53,3.11,16.08,3.0,6.0,10.0,10.0,1.0,1.0,0,14.291,1e-05
2018/2/14 2:30,285.73,1012.11,51.68,3.0,16.63,3.0,6.0,11.0,11.0,1.0,1.0,0,14.503636363636362,1e-05
2018/2/14 2:45,285.66,1012.09,51.82,2.89,17.41,3.0,6.0,12.0,12.0,1.0,1.0,0,14.745833333333332,1e-05
2018/2/14 3:00,285.59,1012.07,51.96,2.78,17.84,3.0,6.0,12.0,13.0,1.0,1.0,0,15.078333333333333,1e-05
2018/2/14 3:15,285.53,1011.87,52.28,2.74,18.08,3.0,6.0,12.0,14.0,1.0,1.0,0,15.439166666666667,1e-05
2018/2/14 3:30,285.47,1011.67,52.6,2.7,17.84,3.0,6.0,12.0,15.0,1.0,1.0,0,15.774166666666668,1e-05
2018/2/14 3:45,285.41,1011.47,52.92,2.65,17.83,3.0,6.0,12.0,16.0,1.0,1.0,0,16.105,1e-05
2018/2/14 4:00,285.35,1011.27,53.23,2.61,17.93,3.0,6.0,12.0,17.0,1.0,1.0,0,16.458333333333332,1e-05
2018/2/14 4:15,285.6,1010.95,53.52,2.55,17.67,3.0,6.0,12.0,18.0,1.0,1.0,0,16.781666666666666,1e-05
2018/2/14 4:30,285.85,1010.64,53.8,2.49,17.6,3.0,6.0,12.0,19.0,1.0,1.0,0,17.078333333333333,1e-05
2018/2/14 4:45,286.1,1010.33,54.08,2.42,17.7,3.0,6.0,12.0,20.0,1.0,1.0,0,17.336666666666666,1e-05
2018/2/14 5:00,286.35,1010.02,54.36,2.36,18.03,3.0,6.0,12.0,21.0,1.0,1.0,0,17.553333333333335,1e-05
2018/2/14 5:15,286.47,1009.79,54.51,2.31,17.84,3.0,6.0,12.0,22.0,1.0,1.0,0,17.7,1e-05
2018/2/14 5:30,286.58,1009.56,54.65,2.25,17.72,3.0,6.0,12.0,23.0,1.0,1.0,0,17.790833333333335,1e-05
2018/2/14 5:45,286.7,1009.33,54.8,2.2,17.62,3.0,6.0,12.0,24.0,1.0,1.0,0,17.808333333333334,1e-05
2018/2/14 6:00,286.82,1009.1,54.94,2.15,17.71,3.0,6.0,12.0,24.0,1.0,1.0,0,17.7975,1e-05
2018/2/14 6:15,286.81,1009.03,55.11,2.09,17.69,3.0,6.0,12.0,24.0,1.0,1.0,0,17.765,1e-05
2018/2/14 6:30,286.8,1008.96,55.28,2.04,17.74,3.0,6.0,12.0,24.0,1.0,1.0,0,17.756666666666668,1e-05
2018/2/14 6:45,286.78,1008.89,55.45,1.98,17.6,3.0,6.0,12.0,24.0,1.0,1.0,0,17.7375,1e-05
2018/2/14 7:00,286.77,1008.82,55.62,1.93,17.16,3.0,6.0,12.0,24.0,1.0,1.0,0,17.673333333333332,1e-05
2018/2/14 7:15,286.51,1008.81,55.9,1.94,17.07,3.0,6.0,12.0,24.0,1.0,1.0,0,17.623333333333335,1e-05
2018/2/14 7:30,286.25,1008.8,56.18,1.95,17.16,3.0,6.0,12.0,24.0,1.0,1.0,0,17.586666666666666,1e-05
2018/2/14 7:45,285.98,1008.78,56.46,1.96,17.23,3.0,6.0,12.0,24.0,1.0,1.0,0,17.5475,1e-05
2018/2/14 8:00,285.72,1008.77,56.74,1.97,17.57,3.0,6.0,12.0,24.0,1.0,1.0,0,17.50916666666667,1e-05
2018/2/14 8:15,285.75,1008.82,56.74,2.01,17.66,3.0,6.0,12.0,24.0,1.0,1.0,0,17.49416666666667,1e-05
2018/2/14 8:30,285.79,1008.86,56.73,2.06,17.65,3.0,6.0,12.0,24.0,1.0,1.0,0,17.488333333333333,1e-05
2018/2/14 8:45,285.83,1008.91,56.73,2.1,17.77,3.0,6.0,12.0,24.0,1.0,1.0,0,17.500833333333333,1e-05
2018/2/14 9:00,285.87,1008.95,56.72,2.15,17.97,3.0,6.0,12.0,24.0,1.0,1.0,0,17.5225,1e-05
2018/2/14 9:15,285.74,1009.22,57.38,2.14,17.98,3.0,6.0,12.0,24.0,1.0,1.0,0,17.546666666666663,1e-05
2018/2/14 9:30,285.6,1009.49,58.05,2.14,17.94,3.0,6.0,12.0,24.0,1.0,1.0,0,17.563333333333333,1e-05
2018/2/14 9:45,285.47,1009.77,58.71,2.14,18.06,3.0,6.0,12.0,24.0,1.0,1.0,0,17.601666666666667,1e-05
2018/2/14 10:00,285.34,1010.04,59.37,2.13,17.79,3.0,6.0,12.0,24.0,1.0,1.0,0,17.65416666666667,1e-05
2018/2/14 10:15,285.39,1010.27,59.11,2.08,18.23,3.0,6.0,12.0,24.0,1.0,1.0,0,17.750833333333333,1e-05
2018/2/14 10:30,285.44,1010.51,58.84,2.03,18.3,3.0,6.0,12.0,24.0,1.0,1.0,0,17.845833333333335,1e-05
2018/2/14 10:45,285.49,1010.74,58.58,1.98,18.35,3.0,6.0,12.0,24.0,1.0,1.0,0,17.93916666666667,1e-05
2018/2/14 11:00,285.55,1010.97,58.32,1.93,17.89,3.0,6.0,12.0,24.0,1.0,1.0,0,17.965833333333332,1e-05
