datetime,pwv,t2m,sp,wind_speed,rh,tp_era5,gpm_precip_sum_1h
2018-01-01 00:00:00,9.39,271.19785,963.40967,2.4016423,97.27877,2.233684,0.29999998
2018-01-01 01:00:00,9.31,271.38275,962.9402,2.395631,97.594955,0.0,0.0
2018-01-01 02:00:00,9.19,271.6654,962.3322,2.5488713,97.66251,0.32493287,1.0799999
2018-01-01 03:00:00,9.25,271.91702,961.85486,2.710728,97.68634,0.35815686,0.42
2018-01-01 04:00:00,9.15,272.0417,960.97943,2.777321,97.558624,0.28775632,0.0
2018-01-01 05:00:00,9.39,272.062,960.52594,2.7433944,97.679276,0.18112361,0.0
2018-01-01 06:00:00,9.49,272.10706,960.0418,2.6540127,97.58101,0.21006167,0.0
2018-01-01 07:00:00,9.34,272.5912,959.8683,2.9658477,96.41352,0.17912686,0.0
2018-01-01 08:00:00,9.55,272.695,959.86127,2.8267503,96.48009,0.3875345,0.0
2018-01-01 09:00:00,9.79,272.66327,959.4299,2.6718752,96.842285,0.5110279,0.0
2018-01-01 10:00:00,9.86,272.7379,959.25635,2.5369027,97.27574,0.1347065,0.0
2018-01-01 11:00:00,9.45,272.78342,958.97815,2.4772382,97.6267,0.10329485,0.0
2018-01-01 12:00:00,9.8,272.8899,958.8357,2.4522178,97.33133,0.13363361,0.0
2018-01-01 13:00:00,9.76,272.9478,958.9341,2.2926307,97.396065,0.14808774,0.0
2018-01-01 14:00:00,9.48,272.89258,958.7045,2.0275261,98.09832,0.09222329,0.0
2018-01-01 15:00:00,9.38,272.9063,958.59937,1.9077495,98.32829,0.058606267,0.0
2018-01-01 16:00:00,9.57,272.91385,958.67737,1.8792372,98.74683,0.07598102,0.0
2018-01-01 17:00:00,9.61,272.88324,958.4843,1.814825,98.84493,0.09460747,0.0
2018-01-01 18:00:00,9.87,272.97165,958.59485,1.6556758,98.788795,0.08735946,0.0
2018-01-01 19:00:00,9.98,273.2245,958.6883,1.4985251,99.063736,0.047966838,0.0
2018-01-01 20:00:00,10.17,273.208,958.8487,1.198831,99.160065,0.026866794,0.0
2018-01-01 21:00:00,10.11,273.22375,959.10693,1.036714,99.22078,0.018179417,0.0
2018-01-01 22:00:00,10.04,273.18646,959.234,1.0254328,99.379616,0.019565225,0.0
2018-01-01 23:00:00,10.17,273.16,959.6016,1.1129818,99.38632,0.02785027,0.0
2018-01-02 00:00:00,9.62,273.18356,959.64014,1.1469351,99.39484,3.7743537,0.0
2018-01-02 01:00:00,9.67,273.14093,959.84735,1.1804552,99.395065,0.0,0.0
2018-01-02 02:00:00,9.73,273.23978,960.01654,1.2392614,99.317894,0.028649345,0.0
2018-01-02 03:00:00,10.04,273.20868,960.28564,1.3064406,99.2608,0.061891973,0.0
2018-01-02 04:00:00,9.84,273.24347,960.49225,1.401889,98.87918,0.09877235,0.0
2018-01-02 05:00:00,9.89,273.27985,960.7905,1.5478462,98.50675,0.12728572,0.0
2018-01-02 06:00:00,9.93,273.23816,960.9889,1.6953095,98.420425,0.1354292,0.0
